[2024-07-05 21:20:45.044059]; Lat: -33.458256; Long: -70.662048; Alt: 552.672;
[2024-07-05 21:20:46.050044]; Lat: -33.458256; Long: -70.66205; Alt: 552.672;
[2024-07-05 21:20:47.055591]; Lat: -33.458256; Long: -70.66205; Alt: 552.672;
[2024-07-05 21:20:48.058692]; Lat: -33.458256; Long: -70.66205; Alt: 552.672;
[2024-07-05 21:20:49.064837]; Lat: -33.458256; Long: -70.662048; Alt: 552.699;
[2024-07-05 21:20:50.071556]; Lat: -33.458256; Long: -70.662048; Alt: 552.699;
[2024-07-05 21:20:51.075875]; Lat: -33.458256; Long: -70.662048; Alt: 552.699;
[2024-07-05 21:20:52.081969]; Lat: -33.458256; Long: -70.662048; Alt: 552.691;
[2024-07-05 21:20:53.087556]; Lat: -33.458256; Long: -70.662048; Alt: 552.691;
[2024-07-05 21:20:54.090716]; Lat: -33.458256; Long: -70.662048; Alt: 552.691;
[2024-07-05 21:20:55.096862]; Lat: -33.458258; Long: -70.662048; Alt: 552.673;
[2024-07-05 21:20:56.102925]; Lat: -33.458258; Long: -70.662048; Alt: 552.673;
[2024-07-05 21:20:57.105898]; Lat: -33.458258; Long: -70.662048; Alt: 552.673;
[2024-07-05 21:20:58.111870]; Lat: -33.45826; Long: -70.662048; Alt: 552.672;
[2024-07-05 21:20:59.117556]; Lat: -33.45826; Long: -70.662048; Alt: 552.672;
[2024-07-05 21:21:00.120716]; Lat: -33.45826; Long: -70.662048; Alt: 552.672;
[2024-07-05 21:21:01.128188]; Lat: -33.45826; Long: -70.66205; Alt: 552.664;
[2024-07-05 21:21:02.133848]; Lat: -33.45826; Long: -70.66205; Alt: 552.664;
[2024-07-05 21:21:03.136808]; Lat: -33.45826; Long: -70.66205; Alt: 552.664;
[2024-07-05 21:21:04.142740]; Lat: -33.458261; Long: -70.66205; Alt: 552.661;
[2024-07-05 21:21:05.148407]; Lat: -33.458261; Long: -70.66205; Alt: 552.661;
[2024-07-05 21:21:06.152959]; Lat: -33.458261; Long: -70.66205; Alt: 552.661;
[2024-07-05 21:21:07.159048]; Lat: -33.458263; Long: -70.662048; Alt: 552.655;
[2024-07-05 21:21:08.164641]; Lat: -33.458263; Long: -70.662048; Alt: 552.655;
[2024-07-05 21:21:09.167546]; Lat: -33.458263; Long: -70.662048; Alt: 552.655;
[2024-07-05 21:21:10.173701]; Lat: -33.458263; Long: -70.66205; Alt: 552.655;
[2024-07-05 21:21:11.180799]; Lat: -33.458263; Long: -70.66205; Alt: 552.655;
[2024-07-05 21:21:12.184777]; Lat: -33.458263; Long: -70.66205; Alt: 552.655;
[2024-07-05 21:21:13.190751]; Lat: -33.458263; Long: -70.662048; Alt: 552.655;
[2024-07-05 21:21:14.196257]; Lat: -33.458263; Long: -70.662048; Alt: 552.655;
